         77740 function calls (75472 primitive calls) in 0.048 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        9    0.000    0.000    0.001    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/base.py:891(_map_values)
        4    0.000    0.000    0.001    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/series.py:524(_init_dict)
      243    0.000    0.000    0.001    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/internals/managers.py:1977(setitem_inplace)
        9    0.000    0.000    0.001    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/algorithms.py:1738(map_array)
     1288    0.001    0.000    0.001    0.000 {method 'ravel' of 'numpy.ndarray' objects}
        5    0.000    0.000    0.001    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/internals/construction.py:96(arrays_to_mgr)
        9    0.001    0.000    0.001    0.000 {pandas._libs.lib.map_infer}
        3    0.001    0.000    0.001    0.000 {built-in method io.open}
      279    0.000    0.000    0.001    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/frame.py:653(_sliced_from_mgr)
       36    0.000    0.000    0.001    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/series.py:1323(_set_value)
       36    0.000    0.000    0.001    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/series.py:1316(_set_values)
      246    0.000    0.000    0.001    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/internals/base.py:69(shape)
      916    0.001    0.000    0.001    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/generic.py:6206(__setattr__)
      913    0.000    0.000    0.001    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/indexes/range.py:409(get_loc)
      280    0.000    0.000    0.001    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/generic.py:335(_from_mgr)
      243    0.000    0.000    0.001    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/internals/base.py:310(setitem_inplace)
      237    0.001    0.000    0.001    0.000 /Users/thomasbreitburd/Documents/CAMBRIDGE/Study/Res_Comp/Coursework/tmb76/src/solver_tools.py:97(<listcomp>)
