         77740 function calls (75472 primitive calls) in 0.048 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      243    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/internals/managers.py:294(<listcomp>)
        4    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/nanops.py:482(nanany)
        1    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/ops/array_ops.py:290(comparison_op)
      408    0.000    0.000    0.000    0.000 {pandas._libs.lib.is_scalar}
      249    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/internals/managers.py:235(items)
        4    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/dtypes/missing.py:261(_isna_array)
       16    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/internals/managers.py:225(set_axis)
        4    0.000    0.000    0.000    0.000 {method 'any' of 'numpy.ndarray' objects}
        3    0.000    0.000    0.000    0.000 {method '_rebuild_blknos_and_blklocs' of 'pandas._libs.internals.BlockManager' objects}
       56    0.000    0.000    0.000    0.000 {built-in method numpy.empty}
       90    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/construction.py:419(extract_array)
      286    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/generic.py:358(attrs)
      286    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/flags.py:57(allows_duplicate_labels)
        1    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/Documents/CAMBRIDGE/Study/Res_Comp/Coursework/tmb76/src/preprocessing.py:134(sudoku_to_output_format)
       17    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/dtypes/inference.py:273(is_dict_like)
       36    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/indexing.py:2516(_tuplify)
        5    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/internals/managers.py:2194(_stack_arrays)
       12    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/series.py:703(name)
       10    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/numpy/core/numeric.py:274(full)
       38    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/internals/blocks.py:2467(extend_blocks)
        4    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/numpy/core/_methods.py:55(_any)
        5    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/numpy/core/_asarray.py:27(require)
        1    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/frame.py:8016(_construct_result)
       13    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/indexes/range.py:198(_simple_new)
       40    0.000    0.000    0.000    0.000 {method 'fill' of 'numpy.ndarray' objects}
        4    0.000    0.000    0.000    0.000 {method 'write' of '_io.TextIOWrapper' objects}
       72    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/indexing.py:2506(_convert_key)
        4    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/dtypes/missing.py:305(_isna_string_dtype)
        1    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/internals/construction.py:638(_extract_index)
       16    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/internals/base.py:73(_validate_set_axis)
       45    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/internals/managers.py:2124(_grouping_func)
       50    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/generic.py:6189(__getattr__)
        8    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/warnings.py:165(simplefilter)
        4    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/frame.py:12210(values)
        1    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/internals/construction.py:481(<listcomp>)
        4    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/dtypes/common.py:618(is_integer_dtype)
       36    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/indexers/utils.py:123(check_setitem_lengths)
       36    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/indexers/utils.py:62(is_list_like_indexer)
       48    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/construction.py:484(ensure_wrapped_if_datetimelike)
        4    0.000    0.000    0.000    0.000 {built-in method pandas._libs.missing.isnaobj}
        1    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/_config/config.py:477(__enter__)
       12    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/dtypes/common.py:1562(validate_all_hashable)
        2    0.000    0.000    0.000    0.000 {method 'all' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/ops/array_ops.py:191(_na_arithmetic_op)
        9    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/internals/blocks.py:2317(maybe_coerce_values)
        4    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/internals/managers.py:1596(as_array)
        2    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/_config/config.py:153(_set_option)
       50    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/construction.py:712(_sanitize_str_dtypes)
       16    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/_config/config.py:633(_get_root)
       36    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/internals/blocks.py:232(_standardize_fill_value)
        1    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
       50    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/construction.py:732(_maybe_repeat)
        8    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/warnings.py:181(_add_filter)
        2    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/numpy/core/_methods.py:61(_all)
       72    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/indexing.py:660(iat)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.print}
       42    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/dtypes/inference.py:300(<genexpr>)
        4    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/base.py:836(__iter__)
        4    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/series.py:708(values)
        1    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/computation/expressions.py:226(evaluate)
       14    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/internals/blocks.py:2346(get_block_type)
       14    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/_config/config.py:686(_warn_if_deprecated)
        1    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/generic.py:2015(empty)
        4    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/internals/managers.py:1956(external_values)
        1    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/dtypes/cast.py:119(maybe_convert_platform)
       30    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/_config/config.py:647(_get_deprecated_option)
        1    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/generic.py:2082(__array__)
        5    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/internals/managers.py:1744(_consolidate_inplace)
       10    0.000    0.000    0.000    0.000 {built-in method numpy.array}
        8    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/warnings.py:466(__enter__)
        1    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/apply.py:76(frame_apply)
        1    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/_config/config.py:483(__exit__)
       36    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/indexing.py:2531(<listcomp>)
       16    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/_config/config.py:674(_translate_key)
      142    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/computation/expressions.py:95(_evaluate_numexpr)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.any}
       24    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/dtypes/common.py:1581(<genexpr>)
       45    0.000    0.000    0.000    0.000 {method 'astype' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/internals/managers.py:540(copy)
        3    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/generic.py:2073(<genexpr>)
        5    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/internals/managers.py:1726(is_consolidated)
        4    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/internals/blocks.py:222(external_values)
        1    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/internals/blocks.py:387(_split_op_result)
        9    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/Documents/CAMBRIDGE/Study/Res_Comp/Coursework/tmb76/src/preprocessing.py:84(<listcomp>)
        4    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/dtypes/common.py:1366(_is_dtype)
        5    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/dtypes/common.py:1425(_is_dtype_type)
       17    0.000    0.000    0.000    0.000 {built-in method numpy.asarray}
        8    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/dtypes/base.py:510(find)
        6    0.000    0.000    0.000    0.000 <frozen codecs>:319(decode)
       79    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        1    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/_config/config.py:478(<listcomp>)
        8    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/warnings.py:487(__exit__)
        1    0.000    0.000    0.000    0.000 {built-in method posix.stat}
        1    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/computation/expressions.py:67(_evaluate_standard)
        5    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/numpy/core/_asarray.py:108(<setcomp>)
        4    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/internals/blocks.py:2586(external_values)
        1    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/internals/blocks.py:247(make_block)
       36    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/internals/blocks.py:654(_maybe_copy)
        1    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/indexes/base.py:591(_dtype_to_subclass)
       16    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/_config/config.py:615(_select_options)
        1    0.000    0.000    0.000    0.000 {built-in method _operator.gt}
        1    0.000    0.000    0.000    0.000 <frozen posixpath>:71(join)
       28    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/indexes/base.py:648(_simple_new)
       38    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/internals/managers.py:335(<dictcomp>)
        1    0.000    0.000    0.000    0.000 {pandas._libs.lib.maybe_convert_objects}
       14    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/indexes/base.py:830(_reset_identity)
        1    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/ops/array_ops.py:466(get_array_op)
        8    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
       36    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/base.py:363(ndim)
        1    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/apply.py:749(__init__)
        7    0.000    0.000    0.000    0.000 <frozen _collections_abc>:78(_check_methods)
        5    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/internals/managers.py:1734(_consolidate_check)
        8    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/warnings.py:440(__init__)
       17    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/frame.py:641(_constructor_from_mgr)
        4    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/dtypes/missing.py:639(na_value_for_dtype)
        2    0.000    0.000    0.000    0.000 <frozen _collections_abc>:262(__subclasshook__)
        4    0.000    0.000    0.000    0.000 {method 'nonzero' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/dtypes/common.py:1066(is_numeric_dtype)
        1    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/tokenize.py:329(find_cookie)
        1    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/dtypes/cast.py:1544(construct_1d_object_array_from_listlike)
        3    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/warnings.py:403(__init__)
        5    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/internals/blocks.py:187(is_extension)
       23    0.000    0.000    0.000    0.000 <frozen _collections_abc>:409(__subclasshook__)
        4    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/util/_validators.py:226(validate_bool_kwarg)
        5    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/dtypes/common.py:131(<lambda>)
        5    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/internals/construction.py:196(mgr_to_mgr)
        1    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/indexes/api.py:379(default_index)
        7    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/generic.py:548(_get_axis_number)
        2    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/generic.py:562(_get_axis)
        1    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/Documents/CAMBRIDGE/Study/Res_Comp/Coursework/tmb76/src/preprocessing.py:52(<listcomp>)
        2    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/apply.py:792(res_columns)
        6    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
        2    0.000    0.000    0.000    0.000 <frozen codecs>:309(__init__)
        1    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/frame.py:7818(_align_for_op)
        1    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/frame.py:1033(_values)
        4    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/frame.py:4402(_clear_item_cache)
       24    0.000    0.000    0.000    0.000 {built-in method _warnings._filters_mutated}
        1    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/_config/config.py:469(__init__)
        1    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/dtypes/inference.py:373(is_sequence)
        1    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/ops/dispatch.py:17(should_extension_dispatch)
        1    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/ops/missing.py:131(dispatch_fill_zeros)
       12    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/indexes/range.py:213(_validate_dtype)
       10    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/numpy/core/multiarray.py:1080(copyto)
        2    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/internals/managers.py:931(from_blocks)
       10    0.000    0.000    0.000    0.000 <frozen _collections_abc>:315(__subclasshook__)
        4    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/dtypes/common.py:1390(_get_dtype)
        1    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/dtypes/common.py:977(is_numeric_v_string_like)
       19    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/Documents/CAMBRIDGE/Study/Res_Comp/Coursework/tmb76/src/preprocessing.py:73(<genexpr>)
        7    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/internals/blocks.py:583(dtype)
        1    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/apply.py:1022(series_generator)
        4    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/dtypes/common.py:514(is_string_or_object_np_dtype)
        1    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/apply.py:111(__init__)
        2    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/apply.py:1030(result_columns)
        8    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
       11    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/Documents/CAMBRIDGE/Study/Res_Comp/Coursework/tmb76/src/preprocessing.py:53(<genexpr>)
        1    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/frame.py:969(shape)
        1    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/internals/blocks.py:639(copy)
        2    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/dtypes/common.py:1322(is_ea_or_datetimelike_dtype)
        5    0.000    0.000    0.000    0.000 <frozen _collections_abc>:283(__subclasshook__)
        4    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/dtypes/common.py:671(<lambda>)
        5    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/dtypes/common.py:126(_classes_and_not_datetimelike)
       12    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/series.py:1381(_clear_item_cache)
        2    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
        4    0.000    0.000    0.000    0.000 {method 'transpose' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/indexes/base.py:573(_ensure_array)
        4    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/indexes/base.py:908(__len__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1207(_handle_fromlist)
        2    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/_config/config.py:663(_get_registered_option)
        1    0.000    0.000    0.000    0.000 <frozen _collections_abc>:381(__subclasshook__)
        1    0.000    0.000    0.000    0.000 <frozen posixpath>:41(_get_sep)
        7    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/internals/managers.py:896(__init__)
        1    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/dtypes/astype.py:250(astype_is_view)
        4    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/compat/numpy/function.py:64(__call__)
        1    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/Documents/CAMBRIDGE/Study/Res_Comp/Coursework/tmb76/src/preprocessing.py:71(<listcomp>)
        4    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'add_index_reference' of 'pandas._libs.internals.BlockValuesRefs' objects}
        5    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {built-in method pandas._libs.missing.checknull}
        4    0.000    0.000    0.000    0.000 {pandas._libs.lib.is_float}
        1    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/apply.py:1423(reconstruct_func)
        1    0.000    0.000    0.000    0.000 <frozen _collections_abc>:362(__subclasshook__)
        1    0.000    0.000    0.000    0.000 <frozen codecs>:186(__init__)
        4    0.000    0.000    0.000    0.000 {pandas._libs.lib.is_bool}
        2    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/_config/config.py:884(inner)
        3    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/apply.py:796(columns)
        4    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/series.py:577(_constructor)
        1    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/anaconda3/envs/ResCompCW/lib/python3.11/site-packages/pandas/core/construction.py:665(_sanitize_non_ordered)
        2    0.000    0.000    0.000    0.000 /Users/thomasbreitburd/Documents/CAMBRIDGE/Study/Res_Comp/Coursework/tmb76/src/solve_sudoku.py:52(<genexpr>)
